Period Start,Period End,Total Members,Paying Members,Token Shop Protocol ($),Core Membership ($),Insurance Affiliate ($),Telehealth Referral ($),Marketplace Commission ($),ID Premium & Shelter B2B ($),Monitor Add-on ($),Other Affiliate ($),Total Revenue 6mo ($),Operating Expenses 6mo ($),Net After Give-Back 6mo ($),Cumulative Net ($),Valuation Low ($M),Valuation High ($M),Valuation Mid ($M),Annualized Revenue Run Rate ($),Paying Members Milestone
2026-06,2026-12,350,45,675,1350,0,0,0,0,0,0,2025,6300,-4800,-4800,1.0,1.5,1.25,4050,Soft launch ~45 paying
2027-01,2027-06,1400,280,6150,12300,550,0,0,0,0,0,19000,10000,7100,2300,1.5,2.5,2.0,38000,280 paying — break-even half
2027-07,2027-12,3200,720,8910,21600,1500,0,0,0,0,800,32810,16000,13800,16100,2.0,3.5,2.75,65620,720 paying
2028-01,2028-06,5500,1450,19000,43500,4500,0,0,0,0,1500,68500,23300,37800,53900,3.0,6.0,4.5,137000,1450 paying
2028-07,2028-12,8200,2400,21600,72000,8500,1200,0,0,0,2800,105900,33300,63500,117400,4.5,8.0,6.25,211800,2400 paying
2029-01,2029-06,9600,2950,26550,88500,11000,3500,0,2400,0,4500,136450,41000,81000,198400,6.0,12.0,9.0,272900,2950 paying
2029-07,2029-12,11200,3600,32400,108000,14500,5500,8000,4800,0,6200,178400,47000,112000,310400,8.0,16.0,12.0,356800,3600 paying — $150K+ ARR
2030-01,2030-06,16200,6000,54000,180000,27000,12000,18000,9600,6000,9000,315600,75500,212000,522400,12.0,22.0,17.0,631200,6000 paying
2030-07,2030-12,18000,7000,63000,210000,33000,15000,24000,12000,9000,11000,377000,84000,258000,780400,15.0,28.0,21.5,754000,7000 paying — $300K+ quarter pace
2031-01,2031-06,26000,12800,115200,384000,70000,28000,48000,24000,18000,22000,709200,134000,518000,1298400,18.0,35.0,26.5,1418400,12800 paying — $2M+ ARR path
