Period,Calendar,Scenario,Product_A_Revenue,Product_A_Gross_Profit,Product_B_Revenue,Product_B_Gross_Profit,Product_C_Revenue,Product_C_Gross_Profit,Total_Revenue,Total_Gross_Profit,Product_B_Practices_EOY,Product_C_Paying_Members_EOY,Product_A_Units,Scanner_Inventory_On_Hand
Y0.5,Oct 2026 - Mar 2027,Conservative,1040,-640,11700,8190,5950,5040,18690,12590,10,32,11,180
Y0.5,Oct 2026 - Mar 2027,Base,1300,-800,18000,12600,8500,7200,27800,19000,15,45,14,180
Y0.5,Oct 2026 - Mar 2027,Aggressive,1625,-500,31500,22050,11900,10080,45025,31525,22,63,18,200
Y1.0,Apr 2027 - Sep 2027,Conservative,2240,320,27300,21840,15400,13090,44940,36250,20,91,26,120
Y1.0,Apr 2027 - Sep 2027,Base,2800,400,42000,33600,22000,18700,66800,52700,30,130,32,120
Y1.0,Apr 2027 - Sep 2027,Aggressive,3500,600,73500,58800,30800,26180,107800,85580,42,182,40,140
Y1.5,Oct 2027 - Mar 2028,Conservative,2800,480,37700,30160,24500,20825,65000,51465,28,154,25,100
Y1.5,Oct 2027 - Mar 2028,Base,3500,600,58000,46400,35000,29750,96500,76750,45,220,31,100
Y1.5,Oct 2027 - Mar 2028,Aggressive,4375,750,101500,81200,49000,41650,154875,123600,58,308,39,120
Y2.0,Apr 2028 - Sep 2028,Conservative,3360,720,61750,49400,38500,32725,103610,82845,45,245,26,100
Y2.0,Apr 2028 - Sep 2028,Base,4200,900,95000,76000,55000,46750,154200,123650,70,350,32,100
Y2.0,Apr 2028 - Sep 2028,Aggressive,5250,1125,166250,133000,77000,65450,248500,199575,95,490,40,110
Y2.5,Oct 2028 - Mar 2029,Conservative,3840,880,76700,61360,50400,42840,130940,105080,62,336,25,90
Y2.5,Oct 2028 - Mar 2029,Base,4800,1100,118000,94400,72000,61200,194800,156700,95,480,31,90
Y2.5,Oct 2028 - Mar 2029,Aggressive,6000,1400,206500,165200,100800,85680,313300,252280,130,672,39,100
Y3.0,Apr 2029 - Sep 2029,Conservative,4400,1120,100750,80600,66500,56525,171650,138245,85,455,26,90
Y3.0,Apr 2029 - Sep 2029,Base,5500,1400,155000,124000,95000,80750,255500,206150,130,650,32,90
Y3.0,Apr 2029 - Sep 2029,Aggressive,6875,1750,271250,217000,133000,113050,411125,331800,180,910,40,110
Y3.5,Oct 2029 - Mar 2030,Conservative,4800,1280,120250,96200,80500,68425,205550,165905,105,574,25,85
Y3.5,Oct 2029 - Mar 2030,Base,6000,1600,185000,148000,115000,97750,306000,247350,165,820,31,85
Y3.5,Oct 2029 - Mar 2030,Aggressive,7500,2000,323750,259000,161000,136850,492250,397850,220,1148,39,100
Y4.0,Apr 2030 - Sep 2030,Conservative,5200,1440,146250,117000,98000,83300,249450,201740,130,700,26,85
Y4.0,Apr 2030 - Sep 2030,Base,6500,1800,225000,180000,140000,119000,371500,300800,210,1000,32,85
Y4.0,Apr 2030 - Sep 2030,Aggressive,8125,2250,393750,315000,196000,166600,597875,483850,280,1400,40,110
Y4.5,Oct 2030 - Mar 2031,Conservative,5600,1600,169000,135200,115500,98175,290100,234975,175,805,25,80
Y4.5,Oct 2030 - Mar 2031,Base,7000,2000,260000,208000,165000,140250,432000,350250,260,1150,31,80
Y4.5,Oct 2030 - Mar 2031,Aggressive,8750,2500,455000,364000,231000,196350,694750,562850,350,1610,39,100
Y5.0,Apr 2031 - Sep 2031,Conservative,6000,1500,201500,161200,136500,105450,344000,268150,220,910,26,80
Y5.0,Apr 2031 - Sep 2031,Base,7500,2200,310000,248000,195000,165750,512500,415950,320,1300,32,80
Y5.0,Apr 2031 - Sep 2031,Aggressive,9375,3800,542500,434000,273000,240240,824875,678040,550,1820,40,100
