Period,Scenario,Token_Shop,AI_Packs,Photo_Print_Affiliates,Safe_Picks,Insurance,Telehealth,Membership,Total_USD
Y1 H1,Conservative,900,120,75,60,0,45,0,1200
Y1 H2,Conservative,2700,200,125,120,135,90,0,3370
Y2 H1,Conservative,4500,350,200,200,225,150,600,6225
Y2 H2,Conservative,6300,480,280,280,315,210,1800,9665
Y3 H1,Conservative,8400,650,390,390,420,280,3600,14130
Y3 H2,Conservative,10500,850,500,500,525,350,5400,18625
Y4 H1,Conservative,12600,1050,620,620,630,420,8100,24040
Y4 H2,Conservative,14700,1250,750,750,735,490,10800,29475
Y5 H1,Conservative,16800,1450,880,880,840,560,13500,34910
Y5 H2,Conservative,18900,1650,1010,1010,945,630,16200,40345
Y1 H1,Expected,2700,360,240,180,0,120,0,3600
Y1 H2,Expected,8100,1080,720,700,720,550,0,11870
Y2 H1,Expected,14400,1900,1200,1200,1440,1100,2160,23400
Y2 H2,Expected,22500,3000,1900,1900,2160,1650,4320,38330
Y3 H1,Expected,33000,4400,2800,2800,3240,2475,7560,56275
Y3 H2,Expected,45000,6000,3800,3800,4320,3300,12960,79180
Y4 H1,Expected,58500,7800,4900,4900,5760,4400,19440,105700
Y4 H2,Expected,72000,9600,6100,6100,7200,5500,27000,133500
Y5 H1,Expected,85500,11400,7200,7200,8640,6600,36000,162540
Y5 H2,Expected,99000,13200,8300,8300,10080,7700,45000,191580
Y1 H1,Optimistic,7200,1400,900,600,0,400,0,10500
Y1 H2,Optimistic,21600,4550,3600,2640,2625,2240,0,37655
Y2 H1,Optimistic,43200,9100,7200,5280,5625,4480,7200,82085
Y2 H2,Optimistic,72000,15600,12000,8800,9450,7840,14400,140090
Y3 H1,Optimistic,108000,23400,18000,13200,14400,11760,28800,217560
Y3 H2,Optimistic,144000,31200,24000,17600,19200,15680,43200,294680
Y4 H1,Optimistic,180000,39000,30000,22000,24000,19600,64800,379400
Y4 H2,Optimistic,216000,46800,36000,26400,28800,23520,86400,463920
Y5 H1,Optimistic,252000,54600,42000,30800,33600,27440,108000,548440
Y5 H2,Optimistic,288000,62400,48000,35200,38400,31360,129600,632960
