slug,card_title,spec_category,price_xrp,price_rlusd,app_shop_path,app_buy_path,canonical_shop
max-movement,Max Movement Pro – Joint Support,Joint & Mobility Protocol,25,18,/token-shop?protocol=max-movement#max-movement,/token-shop?protocol=max-movement&buy=1#max-movement,app
freedom-calm,Freedom Calm – Anxiety Relief,Cognitive & Senior Support Protocol,25,18,/token-shop?protocol=freedom-calm#freedom-calm,/token-shop?protocol=freedom-calm&buy=1#freedom-calm,app
liver-kidney-detox,Foundation Liver & Kidney Detox,Heart & Vital Organs Protocol,25,18,/token-shop?protocol=liver-kidney-detox#liver-kidney-detox,/token-shop?protocol=liver-kidney-detox&buy=1#liver-kidney-detox,app
gut-balance,Buddy's Gut Balance & Cleanse,Digestive Harmony Protocol,25,18,/token-shop?protocol=gut-balance#gut-balance,/token-shop?protocol=gut-balance&buy=1#gut-balance,app
fresh-smile-dental,Fresh Smile Dental & Oral Health,Holistic Wellness Baseline Protocol,25,18,/token-shop?protocol=fresh-smile-dental#fresh-smile-dental,/token-shop?protocol=fresh-smile-dental&buy=1#fresh-smile-dental,app
heart-strong,Heart Strong Cardio-Support,Heart & Vital Organs Protocol,25,18,/token-shop?protocol=heart-strong#heart-strong,/token-shop?protocol=heart-strong&buy=1#heart-strong,app
infrared-spine,Red Light Spine & Joint Support,Musculoskeletal Recovery Protocol,25,18,/token-shop?protocol=infrared-spine#infrared-spine,/token-shop?protocol=infrared-spine&buy=1#infrared-spine,app
allergy-shield,Allergy Shield – Skin & Coat Glow,Allergy & Respiratory Relief Protocol,25,18,/token-shop?protocol=allergy-shield#allergy-shield,/token-shop?protocol=allergy-shield&buy=1#allergy-shield,app
patriot-immune,Patriot Immune Defender – Immunity & Vitality,Immune Vitality Protocol,25,18,/token-shop?protocol=patriot-immune#patriot-immune,/token-shop?protocol=patriot-immune&buy=1#patriot-immune,app
clear-vision,Clear Vision Defender – Eye Health Protocol,Eye & Vision Health Protocol,25,18,/token-shop?protocol=clear-vision#clear-vision,/token-shop?protocol=clear-vision&buy=1#clear-vision,app
